
> my-project@0.1.0 dev /app/frontend
> next dev

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.0.2:3000
✓ Ready in 451ms

 GET / 200 in 664ms (next.js: 235ms, application-code: 429ms)
 GET /robots.txt 404 in 631ms (next.js: 561ms, application-code: 69ms)
 GET /dashboard 200 in 1656ms (next.js: 1507ms, application-code: 149ms)
 GET /robots.txt 404 in 58ms (next.js: 6ms, application-code: 51ms)
 GET /dashboard/doubt-solver 404 in 50ms (next.js: 4ms, application-code: 46ms)
 GET /dashboard/doubt-solver 200 in 993ms (next.js: 786ms, application-code: 208ms)
 GET /robots.txt 404 in 71ms (next.js: 10ms, application-code: 61ms)
 GET /dashboard/doubt-solver 200 in 53ms (next.js: 4ms, application-code: 49ms)
 GET /dashboard 200 in 150ms (next.js: 14ms, application-code: 136ms)
 GET /auth/signin 200 in 1494ms (next.js: 1423ms, application-code: 71ms)
 GET /dashboard/roadmap 200 in 1103ms (next.js: 940ms, application-code: 163ms)
 GET /auth/signin 200 in 58ms (next.js: 3ms, application-code: 56ms)
 GET /dashboard/doubt-solver 200 in 851ms (next.js: 587ms, application-code: 264ms)
 GET /auth/signin 200 in 78ms (next.js: 5ms, application-code: 73ms)
 GET / 200 in 125ms (next.js: 14ms, application-code: 111ms)
 GET /auth/signin 200 in 135ms (next.js: 3ms, application-code: 132ms)
 GET /auth/signup 200 in 1160ms (next.js: 1050ms, application-code: 110ms)
 GET /auth/signin 200 in 60ms (next.js: 3ms, application-code: 57ms)
 GET /auth/signup 200 in 86ms (next.js: 3ms, application-code: 84ms)
 GET / 200 in 61ms (next.js: 3ms, application-code: 58ms)
 GET /dashboard 200 in 53ms (next.js: 5ms, application-code: 48ms)
 GET /auth/signin 200 in 41ms (next.js: 3ms, application-code: 38ms)
[browser] Error fetching user AxiosError: Request failed with status code 401 (app/dashboard/layout.tsx:71:17)
 GET /dashboard/doubt-solver 200 in 89ms (next.js: 3ms, application-code: 86ms)
 GET /auth/signin 200 in 28ms (next.js: 4ms, application-code: 25ms)
 GET / 200 in 77ms (next.js: 4ms, application-code: 73ms)
 GET /dashboard 200 in 53ms (next.js: 3ms, application-code: 50ms)
 GET /dashboard/doubt-solver 200 in 56ms (next.js: 3ms, application-code: 53ms)
 GET / 200 in 71ms (next.js: 3ms, application-code: 68ms)
 GET /dashboard 200 in 47ms (next.js: 3ms, application-code: 45ms)
 GET /dashboard/doubt-solver 200 in 47ms (next.js: 3ms, application-code: 44ms)
 GET / 200 in 441ms (next.js: 91ms, application-code: 350ms)
 GET /dashboard 200 in 154ms (next.js: 15ms, application-code: 140ms)
 GET /dashboard/doubt-solver 200 in 127ms (next.js: 13ms, application-code: 114ms)
 GET /dashboard 200 in 66ms (next.js: 9ms, application-code: 57ms)
 GET /dashboard 200 in 49ms (next.js: 3ms, application-code: 47ms)
 GET /dashboard 200 in 59ms (next.js: 3ms, application-code: 56ms)
 GET /dashboard 200 in 53ms (next.js: 3ms, application-code: 50ms)
 GET /dashboard 200 in 61ms (next.js: 5ms, application-code: 55ms)
 GET /dashboard 200 in 50ms (next.js: 3ms, application-code: 47ms)
 GET /auth/signin 200 in 516ms (next.js: 99ms, application-code: 417ms)
[browser] AxiosError: Request failed with status code 401 (app/auth/signin/page.tsx:44:11)
 GET /auth/signin 200 in 72ms (next.js: 3ms, application-code: 69ms)
[browser] AxiosError: Request failed with status code 401 (app/auth/signin/page.tsx:44:11)
 GET /dashboard 200 in 120ms (next.js: 13ms, application-code: 107ms)
 GET /auth/signin 200 in 33ms (next.js: 3ms, application-code: 30ms)
 GET /auth/signin 200 in 67ms (next.js: 3ms, application-code: 64ms)
[browser] AxiosError: Request failed with status code 401 (app/auth/signin/page.tsx:44:11)
 GET /dashboard 200 in 49ms (next.js: 3ms, application-code: 46ms)
 GET /auth/signin 200 in 29ms (next.js: 2ms, application-code: 26ms)
 GET /auth/signin 200 in 70ms (next.js: 4ms, application-code: 66ms)
[browser] AxiosError: Request failed with status code 401 (app/auth/signin/page.tsx:44:11)
 GET /dashboard 200 in 59ms (next.js: 3ms, application-code: 56ms)
 GET /auth/signin 200 in 35ms (next.js: 3ms, application-code: 32ms)
 GET /auth/signin 200 in 80ms (next.js: 4ms, application-code: 76ms)
[browser] AxiosError: Request failed with status code 401 (app/auth/signin/page.tsx:44:11)
 GET /dashboard 200 in 53ms (next.js: 3ms, application-code: 51ms)
 GET /auth/signin 200 in 39ms (next.js: 3ms, application-code: 37ms)
 GET /auth/signin 200 in 87ms (next.js: 3ms, application-code: 84ms)
 GET /dashboard 200 in 31ms (next.js: 3ms, application-code: 28ms)
